Dead Variable with AST. Total elapse time: 22.584 seconds.
Variable ; logger has 0 references ; com.google.refine.commands.browsing.GetClusteringFunctionsAndDistancesCommand (line:47) ; dead variable
Variable ; distances has 0 references ; com.google.refine.commands.browsing.GetClusteringFunctionsAndDistancesCommand (line:51) ; dead variable
Variable ; keyers has 0 references ; com.google.refine.commands.browsing.GetClusteringFunctionsAndDistancesCommand (line:54) ; dead variable
Variable ; code has 0 references ; com.google.refine.commands.cell.EditOneCellCommand (line:61) ; dead variable
Variable ; code has 0 references ; com.google.refine.commands.expr.GetExpressionHistoryCommand (line:56) ; dead variable
Variable ; global has 0 references ; com.google.refine.commands.expr.GetExpressionHistoryCommand (line:58) ; dead variable
Variable ; functions has 0 references ; com.google.refine.commands.expr.GetExpressionLanguageInfoCommand (line:54) ; dead variable
Variable ; controls has 0 references ; com.google.refine.commands.expr.GetExpressionLanguageInfoCommand (line:56) ; dead variable
Variable ; code has 0 references ; com.google.refine.commands.expr.GetStarredExpressionsCommand (line:48) ; dead variable
Variable ; value has 0 references ; com.google.refine.commands.expr.PreviewExpressionCommand (line:81) ; dead variable
Variable ; code has 0 references ; com.google.refine.commands.expr.PreviewExpressionCommand (line:89) ; dead variable
Variable ; type has 0 references ; com.google.refine.commands.expr.PreviewExpressionCommand (line:95) ; dead variable
Variable ; results has 0 references ; com.google.refine.commands.expr.PreviewExpressionCommand (line:98) ; dead variable
Variable ; value has 0 references ; com.google.refine.commands.GetPreferenceCommand (line:50) ; dead variable
Variable ; version has 0 references ; com.google.refine.commands.GetVersionCommand (line:49) ; dead variable
Variable ; revision has 0 references ; com.google.refine.commands.GetVersionCommand (line:51) ; dead variable
Variable ; full_version has 0 references ; com.google.refine.commands.GetVersionCommand (line:53) ; dead variable
Variable ; full_name has 0 references ; com.google.refine.commands.GetVersionCommand (line:55) ; dead variable
Variable ; logger has 0 references ; com.google.refine.commands.importing.CreateImportingJobCommand (line:50) ; dead variable
Variable ; config has 0 references ; com.google.refine.commands.importing.GetImportingConfigurationCommand (line:50) ; dead variable
Variable ; code has 0 references ; com.google.refine.commands.importing.GetImportingJobStatusCommand (line:52) ; dead variable
Variable ; message has 0 references ; com.google.refine.commands.importing.GetImportingJobStatusCommand (line:55) ; dead variable
Variable ; logger has 0 references ; com.google.refine.commands.importing.ImportingControllerCommand (line:54) ; dead variable
Variable ; logger has 0 references ; com.google.refine.commands.project.CreateProjectCommand (line:62) ; dead variable
Variable ; scripting has 0 references ; com.google.refine.commands.project.GetModelsCommand (line:82) ; dead variable
