Dead Variable with AST. Total elapse time: 133.758 seconds.
Variable ; COMMIT_MAX_RETRY_WAIT_MS has 0 references ; org.apache.iceberg.TableProperties (line:33) ; dead variable
Variable ; COMMIT_MAX_RETRY_WAIT_MS_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:34) ; dead variable
Variable ; COMMIT_TOTAL_RETRY_TIME_MS has 0 references ; org.apache.iceberg.TableProperties (line:36) ; dead variable
Variable ; COMMIT_TOTAL_RETRY_TIME_MS_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:37) ; dead variable
Variable ; MANIFEST_TARGET_SIZE_BYTES has 0 references ; org.apache.iceberg.TableProperties (line:39) ; dead variable
Variable ; MANIFEST_TARGET_SIZE_BYTES_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:40) ; dead variable
Variable ; MANIFEST_MIN_MERGE_COUNT has 0 references ; org.apache.iceberg.TableProperties (line:42) ; dead variable
Variable ; MANIFEST_MIN_MERGE_COUNT_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:43) ; dead variable
Variable ; DEFAULT_FILE_FORMAT_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:49) ; dead variable
Variable ; PARQUET_ROW_GROUP_SIZE_BYTES has 0 references ; org.apache.iceberg.TableProperties (line:51) ; dead variable
Variable ; PARQUET_ROW_GROUP_SIZE_BYTES_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:52) ; dead variable
Variable ; PARQUET_PAGE_SIZE_BYTES has 0 references ; org.apache.iceberg.TableProperties (line:54) ; dead variable
Variable ; PARQUET_PAGE_SIZE_BYTES_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:55) ; dead variable
Variable ; PARQUET_DICT_SIZE_BYTES has 0 references ; org.apache.iceberg.TableProperties (line:57) ; dead variable
Variable ; PARQUET_DICT_SIZE_BYTES_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:58) ; dead variable
Variable ; PARQUET_COMPRESSION has 0 references ; org.apache.iceberg.TableProperties (line:60) ; dead variable
Variable ; PARQUET_COMPRESSION_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:61) ; dead variable
Variable ; PARQUET_COMPRESSION_LEVEL has 0 references ; org.apache.iceberg.TableProperties (line:63) ; dead variable
Variable ; PARQUET_COMPRESSION_LEVEL_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:64) ; dead variable
Variable ; AVRO_COMPRESSION has 0 references ; org.apache.iceberg.TableProperties (line:66) ; dead variable
Variable ; AVRO_COMPRESSION_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:67) ; dead variable
Variable ; PARQUET_VECTORIZATION_ENABLED has 0 references ; org.apache.iceberg.TableProperties (line:81) ; dead variable
Variable ; PARQUET_VECTORIZATION_ENABLED_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:82) ; dead variable
Variable ; PARQUET_BATCH_SIZE has 0 references ; org.apache.iceberg.TableProperties (line:84) ; dead variable
Variable ; PARQUET_BATCH_SIZE_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:85) ; dead variable
Variable ; OBJECT_STORE_PATH has 0 references ; org.apache.iceberg.TableProperties (line:90) ; dead variable
Variable ; MANIFEST_LISTS_ENABLED has 0 references ; org.apache.iceberg.TableProperties (line:107) ; dead variable
Variable ; MANIFEST_LISTS_ENABLED_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:108) ; dead variable
Variable ; DEFAULT_WRITE_METRICS_MODE has 0 references ; org.apache.iceberg.TableProperties (line:121) ; dead variable
Variable ; DEFAULT_WRITE_METRICS_MODE_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:122) ; dead variable
Variable ; WRITE_AUDIT_PUBLISH_ENABLED has 0 references ; org.apache.iceberg.TableProperties (line:126) ; dead variable
Variable ; WRITE_AUDIT_PUBLISH_ENABLED_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:127) ; dead variable
Variable ; SPARK_WRITE_PARTITIONED_FANOUT_ENABLED has 0 references ; org.apache.iceberg.TableProperties (line:132) ; dead variable
Variable ; SPARK_WRITE_PARTITIONED_FANOUT_ENABLED_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:133) ; dead variable
Variable ; SNAPSHOT_ID_INHERITANCE_ENABLED has 0 references ; org.apache.iceberg.TableProperties (line:135) ; dead variable
Variable ; SNAPSHOT_ID_INHERITANCE_ENABLED_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:136) ; dead variable
Variable ; ENGINE_HIVE_ENABLED has 0 references ; org.apache.iceberg.TableProperties (line:138) ; dead variable
Variable ; ENGINE_HIVE_ENABLED_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:139) ; dead variable
Variable ; WRITE_DISTRIBUTION_MODE has 0 references ; org.apache.iceberg.TableProperties (line:141) ; dead variable
Variable ; WRITE_DISTRIBUTION_MODE_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:142) ; dead variable
Variable ; WRITE_DISTRIBUTION_MODE_HASH has 0 references ; org.apache.iceberg.TableProperties (line:143) ; dead variable
Variable ; WRITE_DISTRIBUTION_MODE_RANGE has 0 references ; org.apache.iceberg.TableProperties (line:144) ; dead variable
Variable ; GC_ENABLED has 0 references ; org.apache.iceberg.TableProperties (line:146) ; dead variable
Variable ; GC_ENABLED_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:147) ; dead variable
Variable ; MAX_SNAPSHOT_AGE_MS has 0 references ; org.apache.iceberg.TableProperties (line:149) ; dead variable
Variable ; MAX_SNAPSHOT_AGE_MS_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:150) ; dead variable
Variable ; MIN_SNAPSHOTS_TO_KEEP has 0 references ; org.apache.iceberg.TableProperties (line:152) ; dead variable
Variable ; MIN_SNAPSHOTS_TO_KEEP_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:153) ; dead variable
Variable ; DELETE_ISOLATION_LEVEL has 0 references ; org.apache.iceberg.TableProperties (line:155) ; dead variable
Variable ; DELETE_ISOLATION_LEVEL_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:156) ; dead variable
Variable ; DELETE_MODE has 0 references ; org.apache.iceberg.TableProperties (line:158) ; dead variable
Variable ; DELETE_MODE_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:159) ; dead variable
Variable ; UPDATE_ISOLATION_LEVEL has 0 references ; org.apache.iceberg.TableProperties (line:161) ; dead variable
Variable ; UPDATE_ISOLATION_LEVEL_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:162) ; dead variable
Variable ; UPDATE_MODE has 0 references ; org.apache.iceberg.TableProperties (line:164) ; dead variable
Variable ; UPDATE_MODE_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:165) ; dead variable
Variable ; MERGE_ISOLATION_LEVEL has 0 references ; org.apache.iceberg.TableProperties (line:167) ; dead variable
Variable ; MERGE_ISOLATION_LEVEL_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:168) ; dead variable
Variable ; MERGE_MODE has 0 references ; org.apache.iceberg.TableProperties (line:170) ; dead variable
Variable ; MERGE_MODE_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:171) ; dead variable
Variable ; MERGE_CARDINALITY_CHECK_ENABLED has 0 references ; org.apache.iceberg.TableProperties (line:173) ; dead variable
Variable ; MERGE_CARDINALITY_CHECK_ENABLED_DEFAULT has 0 references ; org.apache.iceberg.TableProperties (line:174) ; dead variable
Variable ; closed has 0 references ; org.apache.iceberg.util.ParallelIterable (line:59) ; dead variable
Variable ; ignored has 0 references ; org.apache.iceberg.util.ParallelIterable (line:65) ; dead variable
Variable ; start has 0 references ; org.apache.iceberg.util.Tasks (line:399) ; dead variable
Total Dead Variable Count : 118
