Variable ; _baseErrorCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\TimeRangeFacet.java(line:128) ; dead variable
Variable ; _timeCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\TimeRangeFacet.java(line:131) ; dead variable
Variable ; _nonTimeCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\TimeRangeFacet.java(line:133) ; dead variable
Variable ; _blankCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\TimeRangeFacet.java(line:135) ; dead variable
Variable ; _errorCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\TimeRangeFacet.java(line:137) ; dead variable
Variable ; MIN has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\TimeRangeFacet.java(line:139) ; dead variable
Variable ; MAX has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\TimeRangeFacet.java(line:140) ; dead variable
Variable ; TO has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\TimeRangeFacet.java(line:141) ; dead variable
Variable ; FROM has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\TimeRangeFacet.java(line:142) ; dead variable
Variable ; _invert has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\filters\ExpressionStringComparisonRowFilter.java(line:54) ; dead variable
Variable ; numericCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\util\ExpressionNumericValueBinner.java(line:61) ; dead variable
Variable ; nonNumericCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\util\ExpressionNumericValueBinner.java(line:62) ; dead variable
Variable ; blankCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\util\ExpressionNumericValueBinner.java(line:63) ; dead variable
Variable ; errorCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\util\ExpressionNumericValueBinner.java(line:64) ; dead variable
Variable ; timeCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\util\ExpressionTimeValueBinner.java(line:63) ; dead variable
Variable ; nonTimeCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\util\ExpressionTimeValueBinner.java(line:64) ; dead variable
Variable ; blankCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\util\ExpressionTimeValueBinner.java(line:65) ; dead variable
Variable ; errorCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\util\ExpressionTimeValueBinner.java(line:66) ; dead variable
Variable ; _pathList has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\ClientSideResourceManager.java(line:60) ; dead variable
Variable ; ngramSize has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\clustering\binning\BinningClusterer.java(line:120) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\clustering\binning\BinningClusterer.java(line:188) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\clustering\binning\BinningClusterer.java(line:210) ; dead variable
Variable ; logger has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\clustering\binning\BinningClusterer.java(line:126) ; dead variable
Variable ; _data has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\clustering\knn\kNNClusterer.java(line:178) ; dead variable
Variable ; defaultRadius has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\clustering\knn\kNNClusterer.java(line:117) ; dead variable
Variable ; defaultBlockingNgramSize has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\clustering\knn\kNNClusterer.java(line:118) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\clustering\knn\kNNClusterer.java(line:246) ; dead variable
Variable ; logger has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\clustering\knn\kNNClusterer.java(line:132) ; dead variable
Variable ; port has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\auth\AuthorizeCommand.java(line:157) ; dead variable
Variable ; distances has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\browsing\GetClusteringFunctionsAndDistancesCommand.java(line:51) ; dead variable
Variable ; keyers has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\browsing\GetClusteringFunctionsAndDistancesCommand.java(line:54) ; dead variable
Variable ; logger has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\browsing\GetClusteringFunctionsAndDistancesCommand.java(line:47) ; dead variable
Variable ; global has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\expr\GetExpressionHistoryCommand.java(line:58) ; dead variable
Variable ; functions has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\expr\GetExpressionLanguageInfoCommand.java(line:54) ; dead variable
Variable ; controls has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\expr\GetExpressionLanguageInfoCommand.java(line:56) ; dead variable
Variable ; code has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\expr\GetStarredExpressionsCommand.java(line:48) ; dead variable
Variable ; results has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\expr\PreviewExpressionCommand.java(line:98) ; dead variable
Variable ; value has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\GetPreferenceCommand.java(line:50) ; dead variable
Variable ; version has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\GetVersionCommand.java(line:49) ; dead variable
Variable ; revision has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\GetVersionCommand.java(line:51) ; dead variable
Variable ; full_version has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\GetVersionCommand.java(line:53) ; dead variable
Variable ; full_name has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\GetVersionCommand.java(line:55) ; dead variable
Variable ; name has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\HttpHeadersSupport.java(line:50) ; dead variable
Variable ; logger has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\importing\CreateImportingJobCommand.java(line:50) ; dead variable
Variable ; config has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\importing\GetImportingConfigurationCommand.java(line:50) ; dead variable
Variable ; logger has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\importing\ImportingControllerCommand.java(line:54) ; dead variable
Variable ; logger has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\project\CreateProjectCommand.java(line:62) ; dead variable
Variable ; scripting has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\project\GetModelsCommand.java(line:82) ; dead variable
Variable ; httpHeaders has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\project\GetModelsCommand.java(line:84) ; dead variable
Variable ; tg has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\recon\GuessTypesOfColumnCommand.java(line:232) ; dead variable
Variable ; DEFAULT_SAMPLE_SIZE has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\recon\GuessTypesOfColumnCommand.java(line:83) ; dead variable
Variable ; code has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\recon\PreviewExtendDataCommand.java(line:72) ; dead variable
Variable ; code has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\recon\ReconClearOneCellCommand.java(line:60) ; dead variable
Variable ; entry has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\recon\ReconClearOneCellCommand.java(line:62) ; dead variable
Variable ; wr has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\row\GetRowsCommand.java(line:209) ; dead variable
Variable ; projects has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\workspace\GetAllProjectMetadataCommand.java(line:54) ; dead variable
Variable ; customMetadataColumns has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\commands\workspace\GetAllProjectMetadataCommand.java(line:58) ; dead variable
Variable ; logger has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\exporters\CsvExporter.java(line:54) ; dead variable
Variable ; omitTime has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\exporters\CustomizableTabularExporterUtilities.java(line:255) ; dead variable
Variable ; optionsTemp has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\exporters\CustomizableTabularExporterUtilities.java(line:83) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\exporters\sql\SqlExporterException.java(line:35) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\EvalError.java(line:48) ; dead variable
Variable ; hasTwoIntegers has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\functions\strings\Range.java(line:187) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\HasFieldsListImpl.java(line:40) ; dead variable
Variable ; foo has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\MetaParser.java(line:87) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\ParsingException.java(line:40) ; dead variable
Variable ; result has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\util\CalendarParser.java(line:778) ; dead variable
Variable ; YEAR_AFTER_DAY has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\util\CalendarParser.java(line:65) ; dead variable
Variable ; MONTH_AFTER_DAY has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\util\CalendarParser.java(line:67) ; dead variable
Variable ; YEAR_AFTER_DAY has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\util\CalendarParser.java(line:508) ; dead variable
Variable ; MONTH_AFTER_DAY has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\util\CalendarParser.java(line:510) ; dead variable
Variable ; PLACE_HOUR has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\util\CalendarParser.java(line:537) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\expr\util\CalendarParserException.java(line:44) ; dead variable
Variable ; OPERATION has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\history\HistoryEntry.java(line:86) ; dead variable
Variable ; startIndex has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\FixedWidthImporter.java(line:218) ; dead variable
Variable ; totalSize has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\ImporterUtilities.java(line:204) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\ImportException.java(line:41) ; dead variable
Variable ; currentLineCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\SeparatorBasedImporter.java(line:199) ; dead variable
Variable ; cellIndex has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\tree\ImportColumn.java(line:38) ; dead variable
Variable ; nextRowIndex has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\tree\ImportColumn.java(line:42) ; dead variable
Variable ; blankOnFirstRow has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\tree\ImportColumn.java(line:46) ; dead variable
Variable ; guessDataType has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\tree\ImportParameters.java(line:33) ; dead variable
Variable ; rows has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\tree\ImportRecord.java(line:39) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\tree\ImportRecord.java(line:55) ; dead variable
Variable ; count has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\tree\RecordElementCandidate.java(line:37) ; dead variable
Variable ; filenameColumnIndex has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\tree\TreeImportingParserBase.java(line:217) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importers\tree\TreeReaderException.java(line:35) ; dead variable
Variable ; metadata has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importing\ImportingJob.java(line:62) ; dead variable
Variable ; lastTouched has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importing\ImportingJob.java(line:64) ; dead variable
Variable ; updating has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importing\ImportingJob.java(line:65) ; dead variable
Variable ; canceled has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importing\ImportingJob.java(line:66) ; dead variable
Variable ; lock has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importing\ImportingJob.java(line:68) ; dead variable
Variable ; jobIdLock has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importing\ImportingManager.java(line:96) ; dead variable
Variable ; rewrittenUrl has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importing\UrlRewriter.java(line:38) ; dead variable
Variable ; format has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importing\UrlRewriter.java(line:39) ; dead variable
Variable ; download has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\importing\UrlRewriter.java(line:40) ; dead variable
Variable ; MAX_DELTA has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\logging\IndentingLayout.java(line:82) ; dead variable
Variable ; row has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\model\changes\RowFlagChange.java(line:67) ; dead variable
Variable ; row has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\model\changes\RowStarChange.java(line:67) ; dead variable
Variable ; parentGroup has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\model\ColumnGroup.java(line:54) ; dead variable
Variable ; firstDiff has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\model\ColumnModel.java(line:252) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\model\ModelException.java(line:37) ; dead variable
Variable ; LOGGER has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\model\recon\ReconConfig.java(line:63) ; dead variable
Variable ; propertyName has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\model\recon\StandardReconConfig.java(line:94) ; dead variable
Variable ; cellIndex has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\model\recon\StandardReconConfig.java(line:399) ; dead variable
Variable ; count has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\model\recon\StandardReconConfig.java(line:553) ; dead variable
Variable ; DEFAULT_SCHEMA_SPACE has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\model\recon\StandardReconConfig.java(line:87) ; dead variable
Variable ; DEFAULT_IDENTIFIER_SPACE has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\model\recon\StandardReconConfig.java(line:88) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\oauth\AuthorizationHeaderSigningStrategy.java(line:38) ; dead variable
Variable ; _cellIndex has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\operations\column\ColumnAdditionByFetchingURLsOperation.java(line:216) ; dead variable
Variable ; lastIndex has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\operations\column\ColumnSplitOperation.java(line:227) ; dead variable
Variable ; _manager has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\process\LongRunningProcess.java(line:44) ; dead variable
Variable ; _progress has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\process\LongRunningProcess.java(line:48) ; dead variable
Variable ; message has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\process\ProcessManager.java(line:56) ; dead variable
Variable ; _title has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\ProjectMetadata.java(line:98) ; dead variable
Variable ; _version has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\ProjectMetadata.java(line:100) ; dead variable
Variable ; license has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\ProjectMetadata.java(line:102) ; dead variable
Variable ; homepage has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\ProjectMetadata.java(line:104) ; dead variable
Variable ; image has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\ProjectMetadata.java(line:106) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\RefineServlet.java(line:74) ; dead variable
Variable ; blankPosition has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\sorting\Criterion.java(line:66) ; dead variable
Variable ; errorPosition has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\sorting\Criterion.java(line:68) ; dead variable
Variable ; caseSensitive has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\sorting\StringCriterion.java(line:45) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\util\GetProjectIDException.java(line:40) ; dead variable
Variable ; DEFAULT_BUFFER_SIZE has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\util\IOUtils.java(line:44) ; dead variable
Variable ; desc has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\util\PatternSyntaxExceptionParser.java(line:85) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\util\SerializationFilters.java(line:103) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\util\SerializationFilters.java(line:124) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\util\SerializationFilters.java(line:141) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\util\SerializationFilters.java(line:155) ; dead variable
Variable ; serialVersionUID has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\util\SerializationFilters.java(line:169) ; dead variable
